"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases
World,"676,101,245","6,770,476","648,428,772","20,901,997"
USA,"104,453,003","1,135,957                                ","101,520,517","1,796,529"
India,"44,683,250","530,745                                ","44,150,713","1,792"
France,"39,533,323","164,286                                ","39,283,319","85,718"
Germany,"37,822,577","166,128                                ","37,427,600","228,849"
Brazil,"36,866,658","697,345                                ","35,933,396","235,917"
Japan,"32,712,246","69,289                                ","21,599,004","11,043,953"
S. Korea,"30,243,393","33,574                                ","29,827,682","382,137"
Italy,"25,488,166","187,272                                ","25,072,909","227,985"
UK,"24,274,361","204,171                                ","24,031,282","38,908"
Russia,"21,987,334","395,234                                ","21,374,674","217,426"
Turkey,"17,042,722","101,492                                ",0,0
Spain,"13,740,531","118,712                                ","13,569,497","52,322"
Vietnam,"11,526,559","43,186                                ","10,614,581","868,792"
Australia,"11,312,904","18,828                                ","11,260,631","33,445"
Argentina,"10,037,135","130,421                                ","9,885,353","21,361"
Taiwan,"9,645,862","16,614                                ","9,192,939","436,309"
Netherlands,"8,583,669","22,989                                ","8,550,069","10,611"
Iran,"7,564,663","144,756                                ","7,337,769","82,138"
Mexico,"7,381,305","332,393                                ","6,617,146","431,766"
Indonesia,"6,730,964","160,831                                ","6,565,917","4,216"
Poland,"6,382,975","118,748                                ","5,335,940","928,287"
Colombia,"6,357,200","142,544                                ","6,181,431","33,225"
Austria,"5,798,237","21,755                                ","5,738,939","37,543"
Greece,"5,723,715","35,822                                ","5,672,479","15,414"
Portugal,"5,564,254","26,033                                ","5,533,517","4,704"
Ukraine,"5,373,104","111,063                                ","5,254,420","7,621"
Chile,"5,124,971","63,859                                ","5,056,231","4,881"
Malaysia,"5,037,582","36,942                                ","4,990,430","10,210"
Israel,"4,787,635","12,203                                ","4,769,812","5,620"
DPRK,"4,772,813",74                                ,"4,772,739",0
Thailand,"4,726,984","33,865                                ","4,692,636",483
Belgium,"4,695,403","33,582                                ","4,647,653","14,168"
Czechia,"4,591,409","42,325                                ","4,538,445","10,639"
Canada,"4,550,256","50,380                                ","4,450,954","48,922"
Peru,"4,482,310","219,085                                ","4,259,959","3,266"
Switzerland,"4,386,556","14,452                                ","4,368,066","4,038"
Philippines,"4,073,739","65,839                                ","3,998,380","9,520"
South Africa,"4,056,701","102,595                                ","3,912,506","41,600"
Romania,"3,325,006","67,576                                ","3,252,104","5,326"
Denmark,"3,173,520","8,165                                ","3,164,170","1,185"
Hong Kong,"2,878,664","13,381                                ","2,583,052","282,231"
Sweden,"2,694,893","23,419                                ","2,671,455",19
Serbia,"2,473,599","17,713                                ","2,442,674","13,212"
Iraq,"2,465,545","25,375                                ","2,439,497",673
Singapore,"2,218,508","1,722                                ","2,145,715","71,071"
Hungary,"2,192,447","48,677                                ","2,139,857","3,913"
